genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7
G000346615	2	4.0	0.5068821310997009	0.014255985617637634	0.023865222930908203	0.3394145369529724	0.04514215514063835	0.5068821310997009	0.009816650301218033	0.028570594266057014	0.032052699476480484
G001304075	6	6.0	0.4692397713661194	0.006149427033960819	0.306554913520813	0.03960264474153519	0.0016453745774924755	0.026779135689139366	0.03343048691749573	0.4692397713661194	0.1165982037782669
G000471025	0	0.0	0.8461837768554688	0.8461837768554688	0.017171166837215424	0.03276015818119049	0.01642533764243126	0.0230720117688179	0.012354623526334763	0.019970133900642395	0.03206285461783409
G900101875	3	4.0	0.4833517372608185	0.003596935188397765	0.029545048251748085	0.1286039799451828	0.3057897090911865	0.4833517372608185	0.010557134635746479	0.011468347162008286	0.027087002992630005
G001593005	2	2.0	0.6562251448631287	0.05135739967226982	0.025739356875419617	0.6562251448631287	0.07602521777153015	0.10879002511501312	0.02641260251402855	0.02870270051062107	0.026747550815343857
G001462345	7	0.0	0.35422438383102417	0.35422438383102417	0.06662578135728836	0.2219996452331543	0.06011297181248665	0.08650486916303635	0.051526445895433426	0.04854705184698105	0.1104588583111763
G001803075	5	5.0	0.3391037583351135	0.0562753789126873	0.07263830304145813	0.05093255639076233	0.05614452809095383	0.15225084125995636	0.3391037583351135	0.032093197107315063	0.24056147038936615
G001462225	7	7.0	0.3339984714984894	0.05286085978150368	0.14474284648895264	0.10399554669857025	0.05080883204936981	0.14442269504070282	0.05710074305534363	0.1120699793100357	0.3339984714984894
G000023125	2	4.0	0.3069230616092682	0.00592611450701952	0.0731714516878128	0.2984800338745117	0.02164529263973236	0.3069230616092682	0.03512927144765854	0.1786080002784729	0.08011677116155624
G000170795	3	4.0	0.5431866645812988	0.016261953860521317	0.027751483023166656	0.2615644037723541	0.07206302136182785	0.5431866645812988	0.019224321469664574	0.039868008345365524	0.020080167800188065
G000298295	2	2.0	0.6741997003555298	0.027088437229394913	0.03609124943614006	0.6741997003555298	0.03844604641199112	0.12085679918527603	0.027381908148527145	0.04934001713991165	0.026595856994390488
G001873185	5	5.0	0.3730149269104004	0.03112383373081684	0.07661524415016174	0.040288046002388	0.06584595143795013	0.1482839435338974	0.3730149269104004	0.029098300263285637	0.23572973906993866
G001804635	5	5.0	0.39921045303344727	0.07186901569366455	0.058703601360321045	0.09205873310565948	0.05936954542994499	0.136614128947258	0.39921045303344727	0.041852571070194244	0.14032204449176788
